DATE,CSUSHPISA,CONSSENT,CPI,POP,LABPARTRATE,LABCONS,WORKPOP,UNRATE,RECPROB,S&P500,PPILUMBWOOD,PPIIRONSTEEL,PCDISPINC,PERMIT,UNDCONSPI
01-01-1990,76.897,93,127.5,248743,66.8,5422,159257,5.4,0.420,329.08,129,116.7,27341,989,57.2
01-02-1990,77.053,89.5,128,248920,66.7,5416,159383,5.3,0.300,331.89,129.7,116.2,27379,963,57.4
01-03-1990,77.2,91.3,128.6,249146,66.7,5392,159425,5.2,0.460,339.94,130.5,116.5,27361,912,57.5
01-04-1990,77.278,93.9,128.9,249436,66.6,5355,159536,5.4,1.500,330.8,132.4,117.1,27505,818,57.6
01-05-1990,77.297,90.6,129.1,249707,66.6,5321,159598,5.4,1.920,361.23,132,117.9,27442,793,57.6
01-06-1990,77.257,88.3,129.9,249990,66.4,5303,159720,5.2,3.500,358.02,130.7,117.4,27450,795,57.9
01-07-1990,77.138,88.2,130.5,250285,66.5,5274,159805,5.5,11.860,356.15,131.3,117.5,27513,775,58.2
01-08-1990,77.008,76.4,131.6,250595,66.5,5234,159974,5.7,24.160,322.56,130.2,118.2,27306,764,58.2
01-09-1990,76.849,72.8,132.5,250904,66.4,5197,160220,5.9,42.680,306.05,129.3,117.9,27259,721,58.2
01-10-1990,76.7,63.9,133.4,251201,66.4,5134,160240,5.9,62.820,304,127.5,117.5,27004,708,58.1
01-11-1990,76.369,66,133.7,251486,66.4,5095,160488,6.2,66.320,322.22,126.9,116.9,26980,682,58.5
01-12-1990,76.183,65.5,134.2,251758,66.4,5047,160675,6.3,64.600,330.22,126.8,116.8,27106,655,58.5
01-01-1991,75.914,66.8,134.7,252012,66.2,4972,160538,6.4,62.920,343.93,127.6,117,27001,587,58.5
01-02-1991,75.734,70.4,134.8,252253,66.2,4929,160715,6.6,55.640,367.07,127.2,116.6,27013,680,58.4
01-03-1991,75.571,87.7,134.8,252507,66.3,4881,160916,6.8,36.740,375.22,127.8,115.8,27029,694,58
01-04-1991,75.566,81.8,135.1,252778,66.4,4842,160973,6.7,4.400,375.34,129.2,115.4,27105,742,57.9
01-05-1991,75.764,78.3,135.6,253060,66.2,4800,161132,6.9,0.720,389.83,132.3,114.5,27080,763,58
01-06-1991,75.992,82.1,136,253350,66.2,4782,161197,6.9,0.300,371.16,136.2,113.5,27190,763,58.3
01-07-1991,76.081,82.9,136.2,253650,66.1,4752,161197,6.8,0.520,387.81,136.9,113.3,27105,787,58.4
01-08-1991,76.109,82,136.6,253966,66,4733,161398,6.9,0.340,395.43,133.3,113,27135,772,58.5
01-09-1991,76.194,83,137,254280,66.2,4728,161518,6.9,0.340,387.86,133.4,112.8,27177,788,58.6
01-10-1991,76.071,78.3,137.2,254576,66.1,4698,161641,7,0.660,392.45,133.2,112.4,27187,787,58.3
01-11-1991,76.015,69.1,137.8,254841,66.1,4640,161824,7,0.620,375.22,133.4,112.3,27202,789,58.2
01-12-1991,76.057,68.2,138.2,255089,66,4647,162039,7.3,0.780,417.09,134.6,112.3,27425,860,58.1
01-01-1992,76.089,67.5,138.3,255331,66.3,4667,161796,7.3,0.360,408.78,137.6,112.1,27671,893,58.4
01-02-1992,76.158,68.8,138.6,255576,66.2,4612,162031,7.4,0.160,412.7,142.9,112.3,27772,951,58.4
01-03-1992,76.279,76,139.1,255848,66.4,4621,162201,7.4,0.160,403.69,145.7,112.7,27772,897,58.4
01-04-1992,76.347,77.2,139.4,256139,66.5,4603,162316,7.4,0.160,414.95,147.5,112.3,27824,868,58.5
01-05-1992,76.4,79.2,139.7,256437,66.6,4605,162466,7.6,0.180,415.35,147.6,112.2,27925,885,58.4
01-06-1992,76.335,80.4,140.1,256742,66.7,4584,162373,7.8,0.180,408.14,146.3,111.4,28012,888,58.5
01-07-1992,76.267,76.6,140.5,257063,66.7,4570,162418,7.7,0.160,424.21,145.3,111.4,27958,884,58.5
01-08-1992,76.234,76.1,140.8,257390,66.6,4581,162804,7.6,0.540,414.03,145.4,111.2,28023,883,58.7
01-09-1992,76.242,75.6,141.1,257704,66.5,4584,163063,7.6,0.200,417.8,148.7,111,27860,914,58.9
01-10-1992,76.379,73.3,141.7,258004,66.2,4600,163266,7.3,0.140,418.68,148.7,110.3,27649,944,59.4
01-11-1992,76.56,85.3,142.1,258280,66.3,4606,163405,7.4,0.180,431.35,149.5,110.1,27662,945,59.7
01-12-1992,76.676,91,142.3,258546,66.3,4630,163526,7.4,0.180,435.71,154.4,110.6,28618,1017,60
01-01-1993,76.787,89.3,142.8,258799,66.2,4664,163371,7.3,0.160,438.78,160.2,111.9,27966,989,60.4
01-02-1993,76.841,86.6,143.1,259036,66.2,4714,163536,7.1,0.160,443.38,169.3,113.1,28073,953,60.7
01-03-1993,76.872,85.9,143.3,259283,66.2,4676,163680,7,1.080,451.67,176.9,113.4,27959,881,60.8
01-04-1993,76.94,85.6,143.8,259547,66.1,4690,163885,7.1,0.140,440.19,181.2,113.5,28075,922,60.9
01-05-1993,77.039,80.3,144.2,259822,66.4,4753,164007,7.1,0.300,450.19,179.8,114.2,28005,911,61.1
01-06-1993,77.245,81.5,144.3,260109,66.5,4760,163999,7,0.140,450.53,174.1,115.6,27923,932,61.4
01-07-1993,77.431,77,144.5,260411,66.4,4783,164138,6.9,0.140,448.13,171.7,116.5,27961,977,61.8
01-08-1993,77.616,77.3,144.8,260717,66.4,4806,164349,6.8,0.140,463.56,171.1,116.7,27968,1000,61.9
01-09-1993,77.797,77.9,145,261015,66.2,4823,164585,6.7,0.100,458.93,173.2,117.3,27860,1028,62.1
01-10-1993,77.945,82.7,145.6,261294,66.3,4868,164779,6.8,0.080,467.83,174,119,27694,1071,62.5
01-11-1993,78.152,81.2,146,261550,66.3,4887,164825,6.6,0.060,461.79,177.3,119.9,27744,1125,63
01-12-1993,78.329,88.2,146.3,261796,66.4,4925,164979,6.5,0.080,466.45,179.6,120.8,28662,1161,63.2
01-01-1994,78.595,94.3,146.3,262021,66.6,4940,165036,6.6,0.080,481.61,184.6,121.3,28101,1112,63.3
01-02-1994,78.73,93.2,146.7,262237,66.6,4923,165235,6.6,0.100,467.14,183.3,122,28132,1065,63.5
01-03-1994,78.859,91.5,147.1,262491,66.5,4990,165418,6.5,0.020,445.77,184.2,121.8,28198,1078,63.5
01-04-1994,78.99,92.6,147.2,262754,66.5,5047,165618,6.4,0.020,450.91,180.3,121.4,28171,1084,63.5
01-05-1994,79.225,92.8,147.5,263014,66.6,5084,165704,6.1,0.080,456.5,178.2,120.6,28468,1110,63.8
01-06-1994,79.426,91.2,147.9,263294,66.4,5097,165839,6.1,0.040,444.27,179.4,118.8,28392,1067,64.2
01-07-1994,79.598,89,148.4,263580,66.4,5125,165996,6.1,0.080,458.26,177.4,120.4,28385,1041,64.4
01-08-1994,79.784,91.7,149,263871,66.6,5139,166014,6,0.040,475.49,177.7,122.3,28387,1054,64.7
01-09-1994,79.922,91.5,149.3,264159,66.6,5175,166134,5.9,0.060,462.71,178.3,123.1,28480,1056,65.1
01-10-1994,80.068,92.7,149.4,264430,66.7,5177,166212,5.8,0.060,472.35,177.8,123.1,28721,1042,65.5
01-11-1994,80.152,91.6,149.8,264681,66.7,5210,166230,5.6,0.040,453.69,179.4,124.1,28693,1014,66
01-12-1994,80.298,95.1,150.1,264924,66.7,5226,166378,5.5,0.080,459.27,179.2,124.7,28797,1086,66.7
01-01-1995,80.429,97.6,150.5,265157,66.8,5234,166390,5.6,0.120,470.42,179.6,127.2,28865,967,67
01-02-1995,80.53,95.1,150.9,265383,66.8,5192,166519,5.4,0.340,487.39,179.5,128.4,28898,916,67
01-03-1995,80.601,90.3,151.2,265625,66.7,5242,166670,5.4,0.340,500.71,180.6,129.1,28952,914,67
01-04-1995,80.664,92.5,151.8,265877,66.9,5252,166879,5.8,0.380,514.71,180.4,129.8,28711,925,67
01-05-1995,80.707,89.8,152.1,266134,66.5,5220,166987,5.6,0.160,533.4,179.7,129.9,28974,958,67.2
01-06-1995,80.789,92.7,152.4,266414,66.5,5250,167072,5.6,0.080,544.75,178,129.7,29030,982,67.3
01-07-1995,80.941,94.4,152.6,266700,66.6,5262,167207,5.7,0.400,562.06,178.2,129.9,29064,1019,67.2
01-08-1995,81.115,96.2,152.9,266998,66.6,5286,167345,5.7,0.100,561.88,177.8,130.4,29051,1045,67.4
01-09-1995,81.311,88.9,153.1,267304,66.6,5324,167475,5.6,0.100,584.41,178.9,129.4,29113,1079,67.6
01-10-1995,81.486,90.2,153.5,267585,66.6,5353,167624,5.5,0.340,581.5,177.2,128.4,29115,1052,67.7
01-11-1995,81.623,88.2,153.7,267829,66.5,5358,167794,5.6,0.160,605.37,174.2,126.9,29169,1060,67.6
01-12-1995,81.74,91,153.9,268047,66.4,5344,167979,5.6,0.120,615.93,173.5,126.6,29185,1091,67.6
01-01-1996,81.838,89.3,154.7,268258,66.4,5355,167970,5.6,0.460,636.02,172.9,127,29202,1051,67.9
01-02-1996,81.957,88.5,155,268480,66.6,5415,168104,5.5,0.080,640.43,173,126.3,29404,1085,67.9
01-03-1996,82.198,93.7,155.5,268724,66.6,5446,168298,5.5,0.140,645.5,172.8,125.7,29472,1108,67.9
01-04-1996,82.425,92.7,156.1,268980,66.7,5474,168519,5.6,0.060,654.17,171.9,125.9,29267,1108,67.7
01-05-1996,82.613,89.4,156.4,269247,66.7,5498,168629,5.6,0.060,669.12,175.8,126.3,29609,1096,67.9
01-06-1996,82.756,92.4,156.7,269527,66.7,5534,168763,5.3,0.080,670.63,176.8,126.2,29757,1089,68.3
01-07-1996,82.932,94.7,157,269822,66.9,5557,168833,5.5,0.220,639.95,175,125.8,29647,1074,68.8
01-08-1996,83.09,95.3,157.2,270130,66.7,5586,169003,5.1,0.180,651.99,177,126.2,29689,1061,69
01-09-1996,83.261,94.7,157.7,270433,66.9,5610,169246,5.2,0.140,687.33,180.2,126.4,29725,1037,69
01-10-1996,83.381,96.5,158.2,270730,67,5643,169376,5.2,0.160,705.27,177.8,125.5,29691,1010,69.2
01-11-1996,83.557,99.2,158.7,271002,67,5668,169647,5.4,0.120,757.02,180.2,124.3,29742,1031,69.3
01-12-1996,83.725,96.9,159.1,271243,67,5675,169844,5.4,0.120,740.74,179.7,124.2,29817,1015,69.4
01-01-1997,83.959,97.4,159.4,271472,67,5675,170327,5.3,0.120,786.16,180.6,125.5,29877,1046,69.8
01-02-1997,84.184,99.7,159.7,271703,66.9,5722,170455,5.2,0.080,790.82,183.4,126.6,29935,1070,69.8
01-03-1997,84.456,100,159.8,271952,67.1,5751,170635,5.2,0.080,757.12,184.8,126.2,30050,1031,69.8
01-04-1997,84.626,101.4,159.9,272213,67.1,5764,170754,5.1,0.120,801.34,185.4,125.8,30043,1054,70
01-05-1997,84.865,103.2,159.9,272482,67.1,5793,170873,4.9,0.100,848.28,186.8,126,30146,1046,70.1
01-06-1997,85.084,104.5,160.2,272767,67.1,5793,171075,5,0.040,885.14,185.4,126.1,30211,1057,70.3
01-07-1997,85.336,107.1,160.4,273074,67.2,5817,171193,4.9,0.060,954.31,185.9,126.7,30291,1050,70.6
01-08-1997,85.577,104.4,160.8,273395,67.2,5846,171332,4.8,0.040,899.47,185,126.8,30412,1061,70.7
01-09-1997,85.854,106,161.2,273703,67.1,5874,171521,4.9,0.020,947.28,183.7,126.8,30458,1091,71.2
01-10-1997,86.15,105.6,161.5,273989,67.1,5883,171676,4.7,0.020,914.62,181.1,126.8,30577,1098,71.4
01-11-1997,86.635,107.2,161.7,274249,67.2,5899,171823,4.6,0.020,955.4,181.8,127.2,30745,1093,71.6
01-12-1997,87.097,102.1,161.8,274499,67.2,5938,172027,4.7,0.140,970.43,181.5,127,30894,1080,71.6
01-01-1998,87.619,106.6,162,274732,67.1,5983,172110,4.6,0.100,980.28,181.1,127,31139,1158,71.6
01-02-1998,88.007,110.4,162,274943,67.1,5997,172292,4.6,0.080,1049.34,182.2,126.6,31312,1191,71.4
01-03-1998,88.447,106.5,162,275175,67.1,5969,172397,4.7,0.200,1101.75,182.4,125.7,31465,1162,71.4
01-04-1998,88.883,108.7,162.2,275434,67,6049,172493,4.3,0.080,1111.75,182.5,125.5,31534,1157,71.7
01-05-1998,89.368,106.5,162.6,275700,67,6087,172709,4.4,0.120,1090.82,180.4,125.3,31632,1165,71.8
01-06-1998,89.848,105.6,162.8,275976,67,6130,172921,4.5,0.680,1133.84,177.5,125,31780,1148,72.4
01-07-1998,90.313,105.2,163.2,276266,67,6172,173108,4.5,0.620,1120.67,178.5,124.2,31803,1181,72.7
01-08-1998,90.789,104.4,163.4,276566,67,6215,173286,4.5,0.100,957.28,179.7,122.6,31871,1196,72.7
01-09-1998,91.262,100.9,163.5,276859,67.2,6225,173440,4.6,0.120,1017.01,178,120.5,31931,1187,72.7
01-10-1998,91.721,97.4,163.9,277140,67.2,6262,173558,4.5,0.120,1098.67,175.5,117.6,31945,1217,73
01-11-1998,92.203,102.7,164.1,277402,67.1,6301,173714,4.4,0.040,1163.63,175.2,115.6,32047,1248,73.5
01-12-1998,92.716,100.5,164.4,277658,67.2,6378,173884,4.4,0.020,1229.23,175.9,114.5,32080,1317,74
01-01-1999,93.212,103.9,164.7,277891,67.2,6357,174347,4.3,0.140,1279.64,177.2,113.9,32230,1259,71.3
01-02-1999,93.675,108.1,164.7,278095,67.2,6429,174538,4.4,0.040,1238.33,179.8,113.8,32319,1291,71.4
01-03-1999,94.221,105.7,164.8,278324,67,6402,174655,4.2,0.200,1286.37,181.6,112.9,32325,1239,71.7
01-04-1999,94.789,104.6,165.9,278584,67.1,6480,174805,4.3,0.120,1335.18,181.6,112.8,32195,1227,72
01-05-1999,95.349,106.8,166,278859,67.1,6516,175018,4.2,0.040,1301.84,183.7,113.1,32225,1254,72.4
01-06-1999,95.979,107.3,166,279148,67.1,6547,175260,4.3,0.140,1372.71,187.8,113.8,32306,1276,72.7
01-07-1999,96.596,106,166.7,279448,67.1,6571,175438,4.3,0.080,1328.72,192,113.4,32338,1276,73
01-08-1999,97.224,104.5,167.1,279752,67,6586,175604,4.2,0.080,1320.41,189.6,114,32444,1243,73.2
01-09-1999,97.869,107.2,167.8,280053,67,6613,175728,4.2,0.180,1282.71,184.9,113.9,32373,1198,73.2
01-10-1999,98.529,103.2,168.1,280337,67,6640,175963,4.1,0.080,1362.93,181,114.3,32522,1208,73.4
01-11-1999,99.16,107.2,168.4,280594,67.1,6687,176046,4.1,0.100,1388.91,181.6,115.5,32706,1233,73.5
01-12-1999,99.849,105.4,168.8,280846,67.1,6709,176183,4,0.040,1469.25,182.7,117.1,32931,1257,73.8
01-01-2000,100.552,112,169.3,281083,67.3,6752,178202,4,0.140,1394.46,183.8,118.3,33119,1277,74.7
01-02-2000,101.339,111.3,170,281299,67.3,6730,178266,4.1,0.140,1366.42,184,118.2,33222,1241,75
01-03-2000,102.127,107.1,171,281531,67.3,6811,178375,4,0.080,1498.58,184.2,118.4,33284,1253,75.2
01-04-2000,102.922,109.2,170.9,281763,67.3,6794,178520,3.8,0.140,1452.43,183,119,33426,1192,75.3
01-05-2000,103.677,110.7,171.2,281996,67.1,6770,178786,4,0.420,1420.6,179.3,118.4,33537,1182,75.5
01-06-2000,104.424,106.4,172.2,282247,67.1,6778,179051,4,0.660,1454.6,178.6,117.6,33599,1156,75.9
01-07-2000,105.054,108.3,172.7,282504,66.9,6794,179398,4,0.780,1430.83,177,117.1,33746,1152,76
01-08-2000,105.768,107.3,172.7,282769,66.9,6796,179432,4.1,1.180,1517.68,174.4,116.2,33920,1173,76.1
01-09-2000,106.537,106.8,173.6,283033,66.9,6807,179634,3.9,1.560,1436.51,174.1,116.1,33924,1189,76.4
01-10-2000,107.381,105.8,173.9,283285,66.8,6814,179804,3.9,4.300,1429.4,173.9,114.7,33985,1224,76.5
01-11-2000,108.3,107.6,174.2,283523,66.9,6817,179918,3.9,6.340,1314.95,173.2,112.8,33965,1208,76.7
01-12-2000,109.138,98.4,174.6,283748,67,6792,180061,3.9,11.180,1320.28,172.7,112.4,34001,1180,77.1
01-01-2001,109.846,94.7,175.6,283960,67.2,6824,180328,4.2,21.680,1366.01,171.6,112.1,34151,1251,77.7
01-02-2001,110.501,90.6,176,284166,67.1,6841,180495,4.2,27.840,1239.94,171.5,110.6,34166,1242,78
01-03-2001,111.108,91.5,176.1,284380,67.2,6862,180593,4.3,34.080,1160.33,172.8,110.6,34228,1232,78.2
01-04-2001,111.65,88.4,176.4,284602,66.9,6844,180854,4.4,40.200,1249.46,172.9,110.2,34100,1259,78.6
01-05-2001,112.162,92,177.3,284834,66.7,6849,180997,4.3,39.780,1255.82,179,109.9,33988,1240,79.2
01-06-2001,112.795,92.6,177.7,285076,66.7,6840,181378,4.5,40.300,1224.38,180.7,109.7,33954,1252,79.6
01-07-2001,113.491,92.4,177.4,285324,66.8,6845,181581,4.6,39.260,1211.23,176.7,110,34420,1235,80
01-08-2001,114.167,91.5,177.4,285584,66.5,6827,181879,4.9,37.400,1133.58,176.8,109.9,34953,1241,80.8
01-09-2001,114.81,81.8,178.1,285842,66.8,6813,181977,5,37.020,1040.94,176,109.6,34622,1192,81
01-10-2001,115.308,82.7,177.6,286086,66.7,6804,182269,5.3,30.100,1059.78,172.3,108.6,33984,1185,81.5
01-11-2001,115.854,83.9,177.5,286315,66.7,6784,182529,5.5,23.640,1139.45,171.5,107.6,33995,1229,81.5
01-12-2001,116.451,88.8,177.4,286533,66.7,6785,182737,5.7,11.200,1148.08,170.6,107.3,34028,1251,81.2
01-01-2002,117.143,93,177.7,286739,66.5,6775,182700,5.7,4.660,1130.2,171.7,107.1,34707,1285,80.6
01-02-2002,117.844,90.7,178,286935,66.8,6766,182841,5.7,2.700,1106.73,173,107.7,34735,1401,80.9
01-03-2002,118.687,95.7,178.5,287131,66.6,6755,183099,5.7,1.280,1147.39,175.3,109,34734,1289,81.2
01-04-2002,119.611,93,179.3,287343,66.7,6710,183331,5.9,0.900,1076.92,175.6,110.8,34827,1285,81.4
01-05-2002,120.724,96.9,179.5,287571,66.7,6684,183460,5.8,0.780,1067.14,174.4,112.9,34941,1289,81.7
01-06-2002,121.812,92.4,179.6,287808,66.6,6701,183690,5.8,0.700,989.82,173.3,114.7,35018,1314,81.9
01-07-2002,122.886,88.1,180,288051,66.5,6688,183840,5.8,1.460,911.62,173.3,115.9,34902,1307,81.7
01-08-2002,123.83,87.6,180.5,288303,66.6,6701,184114,5.7,1.180,916.07,173.8,117,34882,1317,81.4
01-09-2002,124.778,86.1,180.8,288554,66.7,6702,184238,5.7,1.160,815.28,173,118.6,34892,1366,81.8
01-10-2002,125.733,80.6,181.2,288794,66.6,6689,184452,5.7,1.100,885.76,172.3,118.9,34964,1382,82.3
01-11-2002,126.668,84.2,181.5,289012,66.4,6713,184792,5.9,0.920,936.31,171.8,118.2,35031,1382,81.9
01-12-2002,127.622,86.7,181.8,289214,66.3,6700,184906,6,1.800,879.82,171.8,117.9,35090,1409,82.6
01-01-2003,128.46,82.4,182.6,289412,66.4,6704,185679,5.8,1.100,855.7,171.7,118.6,35015,1416,83.7
01-02-2003,129.355,79.9,183.6,289606,66.4,6667,185833,5.9,1.700,841.15,173.2,120.1,34867,1357,84.5
01-03-2003,130.148,77.6,183.9,289809,66.3,6654,186144,5.9,1.580,848.18,172.6,120.7,34925,1359,85
01-04-2003,130.884,86,183.2,290024,66.4,6689,186473,6,1.220,916.92,172.9,120.7,35105,1391,85.3
01-05-2003,131.735,92.1,182.9,290250,66.4,6706,186725,6.1,0.580,963.59,173.1,119.8,35353,1389,85.2
01-06-2003,132.649,89.7,183.1,290484,66.5,6723,186914,6.3,0.460,974.5,173.8,119.2,35428,1461,85.3
01-07-2003,133.776,90.9,183.7,290726,66.2,6735,187187,6.2,0.420,993.32,176.9,119.4,35826,1478,85.1
01-08-2003,134.967,89.3,184.5,290974,66.1,6760,187401,6.1,0.460,1008.01,177.8,120.8,36043,1521,85.9
01-09-2003,136.294,87.7,185.1,291222,66.1,6783,187571,6.1,0.200,995.97,184,122,35605,1533,86.5
01-10-2003,137.532,89.6,184.9,291463,66.1,6784,187712,6,0.220,1050.71,184.1,123.2,35711,1566,87.1
01-11-2003,138.794,93.7,185,291677,66.1,6796,187901,5.8,0.160,1058.2,184.4,125,35899,1513,87.8
01-12-2003,140.18,92.6,185.5,291868,65.9,6827,188014,5.7,0.420,1111.92,183.9,128.4,35903,1549,88.4
01-01-2004,141.648,103.8,186.3,292046,66.1,6848,187560,5.7,0.260,1131.13,183.3,134,35860,1539,88.9
01-02-2004,143.193,94.4,186.7,292230,66,6838,187827,5.6,0.160,1144.94,189,143.6,35901,1564,89.4
01-03-2004,145.059,95.8,187.1,292434,66,6887,188114,5.8,0.180,1126.21,194.1,150.3,36020,1648,90.5
01-04-2004,146.592,94.2,187.4,292651,65.9,6901,188346,5.6,0.080,1107.3,197.7,154.4,36117,1617,91.4
01-05-2004,148.184,90.2,188.2,292872,66,6948,188553,5.6,0.100,1120.68,201.6,155.3,36273,1675,92.5
01-06-2004,149.848,95.6,188.9,293103,66.1,6962,188689,5.6,0.980,1140.84,198.4,155.2,36273,1615,93
01-07-2004,151.336,96.7,189.1,293350,66.1,6977,188792,5.5,0.180,1101.72,196.5,166,36332,1620,93.6
01-08-2004,152.632,95.9,189.2,293603,66,7003,189022,5.4,0.180,1104.24,202.1,174.2,36422,1609,94.1
01-09-2004,154.178,94.2,189.8,293857,65.8,7029,189268,5.4,0.160,1114.58,202.5,174,36417,1586,94.5
01-10-2004,155.75,91.7,190.8,294104,65.9,7077,189481,5.5,0.100,1130.2,196.7,178.9,36407,1593,95.1
01-11-2004,157.527,92.8,191.7,294337,66,7091,189658,5.4,0.140,1173.82,191.9,182.4,36276,1572,95.7
01-12-2004,159.329,97.1,191.7,294561,65.9,7117,189863,5.4,0.120,1211.92,193,180.6,37591,1613,96.5
01-01-2005,161.287,95.5,191.6,294768,65.8,7095,190044,5.3,0.100,1181.27,194.6,181.2,36199,1654,96.7
01-02-2005,163.343,94.1,192.4,294955,65.9,7153,190227,5.4,0.080,1203.6,198.2,179.8,36199,1630,96.4
01-03-2005,165.812,92.6,193.1,295149,65.9,7181,190432,5.2,0.240,1180.59,198.6,176.4,36312,1580,96.9
01-04-2005,167.501,87.7,193.7,295359,66.1,7266,190502,5.2,0.140,1156.85,198.3,176.9,36403,1654,97.1
01-05-2005,169.351,86.9,193.6,295582,66.1,7294,190681,5.1,0.160,1191.5,195.2,170.7,36537,1644,98.3
01-06-2005,171.19,96,193.7,295824,66.1,7333,190880,5,0.140,1191.33,197.6,162,36591,1683,99.3
01-07-2005,172.859,96.5,194.9,296077,66.1,7353,191058,5,0.420,1234.18,196,160,36609,1722,100.7
01-08-2005,174.442,89.1,196.1,296338,66.2,7394,191171,4.9,1.720,1220.33,194.1,161.8,36636,1716,100.8
